# NOTE: PARTIAL RUN -- see bbf/README.md; sweep was still in progress at commit time
  line  3749  DECIDED  n>=2  1 branch(es)  [11/105, 3/22, 20/3, 49/2, 242/7]
  line  3750  DECIDED  n>=2  1 branch(es)  [11/105, 3/22, 20/3, 49/2, 33/7]
  line  3763  DECIDED  n>=2  1 branch(es)  [11/105, 4/3, 15/22, 35/2, 33/5]
  line  3767  DECIDED  n>=2  1 branch(es)  [11/105, 4/3, 15/22, 49/2, 33/7]
  line  3771  DECIDED  n>=2  1 branch(es)  [11/105, 4/3, 45/44, 7/2, 33/7]
  line  3773  DECIDED  n>=1  1 branch(es)  [11/105, 4/3, 75/22, 35/2, 33/5]
  line  3776  DECIDED  n>=2  1 branch(es)  [11/105, 40/3, 15/22, 49/2, 3/7]
  line  3777  DECIDED  n>=2  1 branch(es)  [11/105, 45/22, 2/3, 343/2, 22/7]
  line  3778  DECIDED  n>=2  1 branch(es)  [11/105, 45/22, 2/3, 343/2, 33/7]
  line  3779  DECIDED  n>=2  1 branch(es)  [11/105, 45/22, 2/3, 49/2, 33/7]
  line  3784  DECIDED  n>=1  1 branch(es)  [11/105, 45/22, 4/5, 21/2, 55/3]
  line  3786  DECIDED  n>=2  1 branch(es)  [11/105, 45/44, 4/3, 7/2, 33/7]
  line  3791  DECIDED  n>=2  1 branch(es)  [11/105, 72/5, 5/22, 49/2, 5/7]
  line  3795  DECIDED  n>=2  1 branch(es)  [11/105, 9/22, 10/3, 2401/2, 3/7]
  line  3796  DECIDED  n>=2  1 branch(es)  [11/105, 9/22, 10/3, 343/2, 22/7]
  line  3798  DECIDED  n>=2  1 branch(es)  [11/105, 9/22, 10/3, 343/2, 9/7]
  line  3802  DECIDED  n>=2  1 branch(es)  [11/105, 9/44, 20/3, 49/2, 3/7]
  line  3809  DECIDED  n>=0  1 branch(es)  [11/210, 10/3, 9/55, 7/5, 605/2]
  line  3832  DECIDED  n>=1  1 branch(es)  [11/210, 9/22, 50/11, 14/5, 11/2]
  line  3833  DECIDED  n>=0  1 branch(es)  [11/210, 9/55, 10/3, 7/5, 605/2]
  line  3838  DECIDED  n>=3  1 branch(es)  [11/315, 175/22, 4/5, 3/2, 55/3]
  line  3844  DECIDED  n>=2  1 branch(es)  [11/315, 25/22, 6/5, 21/2, 55/3]
  line  3852  DECIDED  n>=3  1 branch(es)  [11/315, 4/5, 175/22, 3/2, 55/3]
  line  3859  DECIDED  n>=2  1 branch(es)  [11/315, 6/5, 25/22, 21/2, 55/3]
  line  3871  DECIDED  n>=2  1 branch(es)  [112/15, 21/22, 25/2, 11/7, 3/5]
  line  3873  DECIDED  n>=3  1 branch(es)  [112/15, 21/22, 5/2, 11/7, 6/5]
  line  3905  DECIDED  n>=0  1 branch(es)  [135/2, 2/21, 275/3, 7/275, 3/5]
  line  3920  DECIDED  n>=1  1 branch(es)  [135/2, 4/105, 11/5, 49/33, 5/7]
  line  3924  DECIDED  n>=1  1 branch(es)  [135/2, 4/105, 121/5, 7/33, 5/7]
  line  3926  DECIDED  n>=2  1 branch(es)  [135/2, 4/231, 7/3, 11/35, 15/7]
  line  3929  DECIDED  n>=0  1 branch(es)  [135/2, 4/35, 11/45, 49/11, 5/3]
  line  3935  DECIDED  n>=0  1 branch(es)  [135/2, 4/35, 11/5, 49/99, 5/3]
  line  3938  DECIDED  n>=0  1 branch(es)  [135/2, 4/35, 121/45, 7/11, 5/3]
  line  3941  DECIDED  n>=1  1 branch(es)  [135/2, 44/105, 11/5, 7/33, 5/3]
  line  3947  DECIDED  n>=1  1 branch(es)  [135/2, 8/35, 11/45, 7/11, 5/3]
  line  3948  DECIDED  n>=1  1 branch(es)  [135/2, 8/35, 11/5, 7/99, 5/3]
  line  3959  DECIDED  n>=1  1 branch(es)  [14/15, 1/154, 9/2, 121/3, 50/11]
  line  3984  DECIDED  n>=2  2 branch(es)  [14/15, 1/22, 189/2, 121/9, 10/7]
  line  3985  DECIDED  n>=2  2 branch(es)  [14/15, 1/22, 27/2, 847/9, 10/7]
  line  4037  DECIDED  n>=0  1 branch(es)  [14/15, 1/3, 11319/2, 25/539, 3/7]
  line  4135  DECIDED  n>=1  1 branch(es)  [14/15, 1/77, 27/7, 11/9, 175/2]
